"instituteName","firstName","lastName","studentId","email","registration_date","first_login_date","project_cnt",
"Test_Arena_1_Pune","Priyanka","Gaikwad","A1","","2018-06-26","0000-00-00","0",
"Test_Arena_1_Pune","Suraj","Patil","A8","creosoulscomp1@gmail.com","2018-06-27","2018-06-27","14",
"Test_Arena_Mumbai_2","Creo","Comp_1","A9","test.unichronic@gmail.com","2018-06-27","2018-06-27","3",
"Test_Arena_Mumbai_2","Creo_2","Comp_2","A10","creosoulscomp@gmail.com","2018-06-27","2018-06-27","3",
"Test_Arena_Mumbai","Test","Creosouls","A4","testcreosouls1@gmail.com","2018-06-27","2018-06-27","5",
"Test_Arena_Mumbai","Abhishek","Patil","A7","patilpabhishek@gmail.com","2018-06-27","2018-06-27","4",
"Test_Arena_1_Pune","Nik","Shinde","A11","creosoulscomp2@gmail.com","2018-06-27","2018-06-27","3",
"Test Institute Kolkata","Nilesh1","Anandrao1","B1","nileshanandrao3@gmail.com","2018-07-11","2018-07-11","3",
"Test Institute Kolkata","Nilesh","Anand","B2","nileshanand5686@gmail.com","2018-07-11","2018-07-11","2",
"Test Institute Kolkata","Reshma","Patil","B3","resh456patil@gmail.com","2018-07-11","2018-07-11","1",
